tipologia_intervento,media_richiesto,media_concesso,media_liquidato
RCR-CI-L0,137199.91777342543,131323.78789299988,122324.5647431192
RCR-CI-PROD,449638.50451388885,357995.3218402778,373744.9222
RCR-CI-RES,567064.576916768,576021.7578023782,551365.8601407361
